office,district,candidate,party,precinct,votes,absentee_votes
U.S. House,,James R. Langevin*,D,Cranston 0728,4,4
U.S. House,,James R. Langevin*,D,Cranston 0730,191,86
U.S. House,,James R. Langevin*,D,Cranston 0731,200,86
U.S. House,,James R. Langevin*,D,Cranston Limited,0,0
U.S. House,,James R. Langevin*,D,East Greenwich 0901,49,22
U.S. House,,James R. Langevin*,D,East Greenwich 0903,299,159
U.S. House,,James R. Langevin*,D,East Greenwich 0905,276,162
U.S. House,,James R. Langevin*,D,East Greenwich Limited,0,0
U.S. House,,James R. Langevin*,D,Exeter 1101,71,35
U.S. House,,James R. Langevin*,D,Exeter 1103,157,91
U.S. House,,James R. Langevin*,D,Exeter Limited,0,0
U.S. House,,James R. Langevin*,D,Foster 1201,147,96
U.S. House,,James R. Langevin*,D,Foster Limited,0,0
U.S. House,,James R. Langevin*,D,Glocester 1301,213,125
U.S. House,,James R. Langevin*,D,Glocester 1303,23,15
U.S. House,,James R. Langevin*,D,Glocester 1304,73,44
U.S. House,,James R. Langevin*,D,Glocester Limited,0,0
U.S. House,,James R. Langevin*,D,Hopkinton 1401,205,95
U.S. House,,James R. Langevin*,D,Hopkinton 1402,129,76
U.S. House,,James R. Langevin*,D,Hopkinton 1403,48,31
U.S. House,,James R. Langevin*,D,Hopkinton Limited,0,0
U.S. House,,James R. Langevin*,D,Johnston 1601,149,89
U.S. House,,James R. Langevin*,D,Johnston 1603,248,121
U.S. House,,James R. Langevin*,D,Johnston 1604,102,45
U.S. House,,James R. Langevin*,D,Johnston 1605,76,34
U.S. House,,James R. Langevin*,D,Johnston 1606,47,22
U.S. House,,James R. Langevin*,D,Johnston 1607,54,33
U.S. House,,James R. Langevin*,D,Johnston 1608,140,60
U.S. House,,James R. Langevin*,D,Johnston 1609,164,83
U.S. House,,James R. Langevin*,D,Johnston 1610,331,155
U.S. House,,James R. Langevin*,D,Johnston 1611,170,85
U.S. House,,James R. Langevin*,D,Johnston 1612,124,62
U.S. House,,James R. Langevin*,D,Johnston 1613,86,48
U.S. House,,James R. Langevin*,D,Johnston Limited,0,0
U.S. House,,James R. Langevin*,D,Narragansett 2001,56,28
U.S. House,,James R. Langevin*,D,Narragansett 2002,376,210
U.S. House,,James R. Langevin*,D,Narragansett 2003,343,192
U.S. House,,James R. Langevin*,D,Narragansett 2004,412,244
U.S. House,,James R. Langevin*,D,Narragansett 2005,327,202
U.S. House,,James R. Langevin*,D,Narragansett Limited,0,0
U.S. House,,James R. Langevin*,D,New Shoreham 2201,190,77
U.S. House,,James R. Langevin*,D,New Shoreham Limited,0,0
U.S. House,,James R. Langevin*,D,North Kingstown 2301,166,100
U.S. House,,James R. Langevin*,D,North Kingstown 2304,693,378
U.S. House,,James R. Langevin*,D,North Kingstown 2306,227,133
U.S. House,,James R. Langevin*,D,North Kingstown 2309,1041,594
U.S. House,,James R. Langevin*,D,North Kingstown Limited,0,0
U.S. House,,James R. Langevin*,D,Providence 2835,49,38
U.S. House,,James R. Langevin*,D,Providence 2836,2,2
U.S. House,,James R. Langevin*,D,Providence 2837,101,41
U.S. House,,James R. Langevin*,D,Providence 2838,66,21
U.S. House,,James R. Langevin*,D,Providence 2839,152,39
U.S. House,,James R. Langevin*,D,Providence 2841,46,9
U.S. House,,James R. Langevin*,D,Providence 2842,27,7
U.S. House,,James R. Langevin*,D,Providence 2844,219,73
U.S. House,,James R. Langevin*,D,Providence 2846,279,79
U.S. House,,James R. Langevin*,D,Providence 2847,62,7
U.S. House,,James R. Langevin*,D,Providence 2850,213,70
U.S. House,,James R. Langevin*,D,Providence 2853,344,141
U.S. House,,James R. Langevin*,D,Providence 2854,865,239
U.S. House,,James R. Langevin*,D,Providence 2859,88,20
U.S. House,,James R. Langevin*,D,Providence 2863,649,278
U.S. House,,James R. Langevin*,D,Providence 2864,25,5
U.S. House,,James R. Langevin*,D,Providence 2867,213,83
U.S. House,,James R. Langevin*,D,Providence 2868,159,41
U.S. House,,James R. Langevin*,D,Providence 2869,91,15
U.S. House,,James R. Langevin*,D,Providence 2871,88,13
U.S. House,,James R. Langevin*,D,Providence 2875,577,368
U.S. House,,James R. Langevin*,D,Providence 2877,40,11
U.S. House,,James R. Langevin*,D,Providence Limited 2,2,0
U.S. House,,James R. Langevin*,D,Richmond 2902,258,132
U.S. House,,James R. Langevin*,D,Richmond Limited,0,0
U.S. House,,James R. Langevin*,D,Scituate 3001,117,58
U.S. House,,James R. Langevin*,D,Scituate 3002,81,44
U.S. House,,James R. Langevin*,D,Scituate 3003,113,61
U.S. House,,James R. Langevin*,D,Scituate Limited,0,0
U.S. House,,James R. Langevin*,D,South Kingstown 3201,103,48
U.S. House,,James R. Langevin*,D,South Kingstown 3202,638,400
U.S. House,,James R. Langevin*,D,South Kingstown 3204,753,390
U.S. House,,James R. Langevin*,D,South Kingstown 3207,1047,642
U.S. House,,James R. Langevin*,D,South Kingstown 3209,150,87
U.S. House,,James R. Langevin*,D,South Kingstown 3210,207,111
U.S. House,,James R. Langevin*,D,South Kingstown Limited,0,0
U.S. House,,James R. Langevin*,D,Warwick 3501,418,231
U.S. House,,James R. Langevin*,D,Warwick 3502,351,163
U.S. House,,James R. Langevin*,D,Warwick 3503,133,74
U.S. House,,James R. Langevin*,D,Warwick 3504,303,153
U.S. House,,James R. Langevin*,D,Warwick 3505,87,42
U.S. House,,James R. Langevin*,D,Warwick 3506,80,47
U.S. House,,James R. Langevin*,D,Warwick 3507,42,19
U.S. House,,James R. Langevin*,D,Warwick 3508,209,83
U.S. House,,James R. Langevin*,D,Warwick 3509,61,41
U.S. House,,James R. Langevin*,D,Warwick 3510,175,74
U.S. House,,James R. Langevin*,D,Warwick 3511,219,133
U.S. House,,James R. Langevin*,D,Warwick 3512,150,75
U.S. House,,James R. Langevin*,D,Warwick 3513,239,138
U.S. House,,James R. Langevin*,D,Warwick 3514,292,155
U.S. House,,James R. Langevin*,D,Warwick 3515,324,161
U.S. House,,James R. Langevin*,D,Warwick 3516,70,33
U.S. House,,James R. Langevin*,D,Warwick 3517,77,40
U.S. House,,James R. Langevin*,D,Warwick 3518,259,153
U.S. House,,James R. Langevin*,D,Warwick 3519,277,141
U.S. House,,James R. Langevin*,D,Warwick 3520,180,95
U.S. House,,James R. Langevin*,D,Warwick 3521,171,98
U.S. House,,James R. Langevin*,D,Warwick 3522,138,67
U.S. House,,James R. Langevin*,D,Warwick 3523,269,155
U.S. House,,James R. Langevin*,D,Warwick 3524,134,70
U.S. House,,James R. Langevin*,D,Warwick 3525,201,120
U.S. House,,James R. Langevin*,D,Warwick 3526,71,45
U.S. House,,James R. Langevin*,D,Warwick 3527,204,117
U.S. House,,James R. Langevin*,D,Warwick 3528,101,53
U.S. House,,James R. Langevin*,D,Warwick 3529,225,142
U.S. House,,James R. Langevin*,D,Warwick 3530,321,161
U.S. House,,James R. Langevin*,D,Warwick 3531,391,192
U.S. House,,James R. Langevin*,D,Warwick 3532,78,40
U.S. House,,James R. Langevin*,D,Warwick 3533,101,56
U.S. House,,James R. Langevin*,D,Warwick Limited,0,0
U.S. House,,James R. Langevin*,D,Westerly 3601,58,28
U.S. House,,James R. Langevin*,D,Westerly 3602,121,74
U.S. House,,James R. Langevin*,D,Westerly 3603,155,101
U.S. House,,James R. Langevin*,D,Westerly 3604,120,75
U.S. House,,James R. Langevin*,D,Westerly 3605,143,95
U.S. House,,James R. Langevin*,D,Westerly 3606,146,86
U.S. House,,James R. Langevin*,D,Westerly 3607,102,56
U.S. House,,James R. Langevin*,D,Westerly Limited,0,0
U.S. House,,James R. Langevin*,D,West Greenwich 3701,53,30
U.S. House,,James R. Langevin*,D,West Greenwich 3702,56,24
U.S. House,,James R. Langevin*,D,West Greenwich 3703,31,14
U.S. House,,James R. Langevin*,D,West Greenwich 3704,36,15
U.S. House,,James R. Langevin*,D,West Greenwich Limited,0,0
U.S. House,,James R. Langevin*,D,West Warwick 3801,145,75
U.S. House,,James R. Langevin*,D,West Warwick 3802,82,35
U.S. House,,James R. Langevin*,D,West Warwick 3803,61,22
U.S. House,,James R. Langevin*,D,West Warwick 3804,300,161
U.S. House,,James R. Langevin*,D,West Warwick 3805,81,39
U.S. House,,James R. Langevin*,D,West Warwick 3806,68,29
U.S. House,,James R. Langevin*,D,West Warwick 3807,254,145
U.S. House,,James R. Langevin*,D,West Warwick 3808,254,125
U.S. House,,James R. Langevin*,D,West Warwick 3809,221,139
U.S. House,,James R. Langevin*,D,West Warwick 3810,126,71
U.S. House,,James R. Langevin*,D,West Warwick Limited,0,0
U.S. House,,James R. Langevin*,D,Federal Precinct #2,41,35
U.S. House,,James R. Langevin*,D,Federal Precinct #2S,5,5
U.S. House,,Dylan Conley,D,Burrillville 0301,39,15
U.S. House,,Dylan Conley,D,Burrillville 0303,79,31
U.S. House,,Dylan Conley,D,Burrillville 0306,26,14
U.S. House,,Dylan Conley,D,Burrillville Limited,0,0
U.S. House,,Dylan Conley,D,Charlestown 0501,30,10
U.S. House,,Dylan Conley,D,Charlestown 0502,51,12
U.S. House,,Dylan Conley,D,Charlestown 0503,34,19
U.S. House,,Dylan Conley,D,Charlestown 0504,23,7
U.S. House,,Dylan Conley,D,Charlestown Limited,0,0
U.S. House,,Dylan Conley,D,Coventry 0601,25,5
U.S. House,,Dylan Conley,D,Coventry 0602,9,2
U.S. House,,Dylan Conley,D,Coventry 0603,45,16
U.S. House,,Dylan Conley,D,Coventry 0604,44,14
U.S. House,,Dylan Conley,D,Coventry 0605,19,4
U.S. House,,Dylan Conley,D,Coventry 0606,72,19
U.S. House,,Dylan Conley,D,Coventry 0609,37,10
U.S. House,,Dylan Conley,D,Coventry 0610,21,8
U.S. House,,Dylan Conley,D,Coventry 0611,27,10
U.S. House,,Dylan Conley,D,Coventry 0613,39,16
U.S. House,,Dylan Conley,D,Coventry 0615,88,36
U.S. House,,Dylan Conley,D,Coventry 0617,20,8
U.S. House,,Dylan Conley,D,Coventry 0618,9,4
U.S. House,,Dylan Conley,D,Coventry Limited,0,0
U.S. House,,Dylan Conley,D,Cranston 0701,62,25
U.S. House,,Dylan Conley,D,Cranston 0702,39,13
U.S. House,,Dylan Conley,D,Cranston 0703,36,22
U.S. House,,Dylan Conley,D,Cranston 0704,19,6
U.S. House,,Dylan Conley,D,Cranston 0705,10,4
U.S. House,,Dylan Conley,D,Cranston 0706,61,13
U.S. House,,Dylan Conley,D,Cranston 0707,61,32
U.S. House,,Dylan Conley,D,Cranston 0708,73,28
U.S. House,,Dylan Conley,D,Cranston 0709,73,28
U.S. House,,Dylan Conley,D,Cranston 0710,107,44
U.S. House,,Dylan Conley,D,Cranston 0711,76,33
U.S. House,,Dylan Conley,D,Cranston 0712,97,33
U.S. House,,Dylan Conley,D,Cranston 0713,109,41
U.S. House,,Dylan Conley,D,Cranston 0714,23,14
U.S. House,,Dylan Conley,D,Cranston 0715,82,35
U.S. House,,Dylan Conley,D,Cranston 0716,48,24
U.S. House,,Dylan Conley,D,Cranston 0717,55,19
U.S. House,,Dylan Conley,D,Cranston 0718,28,6
U.S. House,,Dylan Conley,D,Cranston 0719,53,25
U.S. House,,Dylan Conley,D,Cranston 0720,18,8
U.S. House,,Dylan Conley,D,Cranston 0721,84,34
U.S. House,,Dylan Conley,D,Cranston 0722,32,14
U.S. House,,Dylan Conley,D,Cranston 0723,178,82
U.S. House,,Dylan Conley,D,Cranston 0724,171,80
U.S. House,,Dylan Conley,D,Cranston 0725,164,66
U.S. House,,Dylan Conley,D,Cranston 0726,57,21
U.S. House,,Dylan Conley,D,Cranston 0727,113,57
U.S. House,,Dylan Conley,D,Cranston 0728,1,1
U.S. House,,Dylan Conley,D,Cranston 0730,91,32
U.S. House,,Dylan Conley,D,Cranston 0731,64,29
U.S. House,,Dylan Conley,D,Cranston Limited,0,0
U.S. House,,Dylan Conley,D,East Greenwich 0901,11,5
U.S. House,,Dylan Conley,D,East Greenwich 0903,161,74
U.S. House,,Dylan Conley,D,East Greenwich 0905,99,54
U.S. House,,Dylan Conley,D,East Greenwich Limited,0,0
U.S. House,,Dylan Conley,D,Exeter 1101,29,17
U.S. House,,Dylan Conley,D,Exeter 1103,68,37
U.S. House,,Dylan Conley,D,Exeter Limited,0,0
U.S. House,,Dylan Conley,D,Foster 1201,62,31
U.S. House,,Dylan Conley,D,Foster Limited,0,0
U.S. House,,Dylan Conley,D,Glocester 1301,66,27
U.S. House,,Dylan Conley,D,Glocester 1303,14,6
U.S. House,,Dylan Conley,D,Glocester 1304,28,12
U.S. House,,Dylan Conley,D,Glocester Limited,0,0
U.S. House,,Dylan Conley,D,Hopkinton 1401,70,33
U.S. House,,Dylan Conley,D,Hopkinton 1402,55,24
U.S. House,,Dylan Conley,D,Hopkinton 1403,12,5
U.S. House,,Dylan Conley,D,Hopkinton Limited,0,0
U.S. House,,Dylan Conley,D,Johnston 1601,83,25
U.S. House,,Dylan Conley,D,Johnston 1603,81,28
U.S. House,,Dylan Conley,D,Johnston 1604,48,9
U.S. House,,Dylan Conley,D,Johnston 1605,41,9
U.S. House,,Dylan Conley,D,Johnston 1606,18,5
U.S. House,,Dylan Conley,D,Johnston 1607,25,8
U.S. House,,Dylan Conley,D,Johnston 1608,77,8
U.S. House,,Dylan Conley,D,Johnston 1609,88,25
U.S. House,,Dylan Conley,D,Johnston 1610,164,52
U.S. House,,Dylan Conley,D,Johnston 1611,78,21
U.S. House,,Dylan Conley,D,Johnston 1612,73,13
U.S. House,,Dylan Conley,D,Johnston 1613,55,8
U.S. House,,Dylan Conley,D,Johnston Limited,0,0
U.S. House,,Dylan Conley,D,Narragansett 2001,22,7
U.S. House,,Dylan Conley,D,Narragansett 2002,150,76
U.S. House,,Dylan Conley,D,Narragansett 2003,127,51
U.S. House,,Dylan Conley,D,Narragansett 2004,157,72
U.S. House,,Dylan Conley,D,Narragansett 2005,131,70
U.S. House,,Dylan Conley,D,Narragansett Limited,0,0
U.S. House,,Dylan Conley,D,New Shoreham 2201,28,18
U.S. House,,Dylan Conley,D,New Shoreham Limited,0,0
U.S. House,,Dylan Conley,D,North Kingstown 2301,53,16
U.S. House,,Dylan Conley,D,North Kingstown 2304,259,112
U.S. House,,Dylan Conley,D,North Kingstown 2306,78,28
U.S. House,,Dylan Conley,D,North Kingstown 2309,395,227
U.S. House,,Dylan Conley,D,North Kingstown Limited,0,0
U.S. House,,Dylan Conley,D,Providence 2835,21,16
U.S. House,,Dylan Conley,D,Providence 2836,1,0
U.S. House,,Dylan Conley,D,Providence 2837,58,28
U.S. House,,Dylan Conley,D,Providence 2838,25,8
U.S. House,,Dylan Conley,D,Providence 2839,73,23
U.S. House,,Dylan Conley,D,Providence 2841,18,9
U.S. House,,Dylan Conley,D,Providence 2842,12,4
U.S. House,,Dylan Conley,D,Providence 2844,141,41
U.S. House,,Dylan Conley,D,Providence 2846,170,49
U.S. House,,Dylan Conley,D,Providence 2847,22,1
U.S. House,,Dylan Conley,D,Providence 2850,121,35
U.S. House,,Dylan Conley,D,Providence 2853,154,68
U.S. House,,Dylan Conley,D,Providence 2854,340,106
U.S. House,,Dylan Conley,D,Providence 2859,53,17
U.S. House,,Dylan Conley,D,Providence 2863,377,149
U.S. House,,Dylan Conley,D,Providence 2864,32,15
U.S. House,,Dylan Conley,D,Providence 2867,208,92
U.S. House,,Dylan Conley,D,Providence 2868,53,17
U.S. House,,Dylan Conley,D,Providence 2869,26,4
U.S. House,,Dylan Conley,D,Providence 2871,52,11
U.S. House,,Dylan Conley,D,Providence 2875,146,57
U.S. House,,Dylan Conley,D,Providence 2877,17,1
U.S. House,,Dylan Conley,D,Providence Limited 2,0,0
U.S. House,,Dylan Conley,D,Richmond 2902,125,65
U.S. House,,Dylan Conley,D,Richmond Limited,0,0
U.S. House,,Dylan Conley,D,Scituate 3001,46,18
U.S. House,,Dylan Conley,D,Scituate 3002,30,10
U.S. House,,Dylan Conley,D,Scituate 3003,32,11
U.S. House,,Dylan Conley,D,Scituate Limited,0,0
U.S. House,,Dylan Conley,D,South Kingstown 3201,44,15
U.S. House,,Dylan Conley,D,South Kingstown 3202,317,168
U.S. House,,Dylan Conley,D,South Kingstown 3204,418,198
U.S. House,,Dylan Conley,D,South Kingstown 3207,534,305
U.S. House,,Dylan Conley,D,South Kingstown 3209,72,30
U.S. House,,Dylan Conley,D,South Kingstown 3210,93,30
U.S. House,,Dylan Conley,D,South Kingstown Limited,0,0
U.S. House,,Dylan Conley,D,Warwick 3501,219,103
U.S. House,,Dylan Conley,D,Warwick 3502,175,67
U.S. House,,Dylan Conley,D,Warwick 3503,75,27
U.S. House,,Dylan Conley,D,Warwick 3504,146,68
U.S. House,,Dylan Conley,D,Warwick 3505,47,14
U.S. House,,Dylan Conley,D,Warwick 3506,31,15
U.S. House,,Dylan Conley,D,Warwick 3507,19,9
U.S. House,,Dylan Conley,D,Warwick 3508,94,27
U.S. House,,Dylan Conley,D,Warwick 3509,18,8
U.S. House,,Dylan Conley,D,Warwick 3510,76,38
U.S. House,,Dylan Conley,D,Warwick 3511,109,40
U.S. House,,Dylan Conley,D,Warwick 3512,60,21
U.S. House,,Dylan Conley,D,Warwick 3513,107,49
U.S. House,,Dylan Conley,D,Warwick 3514,153,51
U.S. House,,Dylan Conley,D,Warwick 3515,149,42
U.S. House,,Dylan Conley,D,Warwick 3516,29,8
U.S. House,,Dylan Conley,D,Warwick 3517,42,14
U.S. House,,Dylan Conley,D,Warwick 3518,133,45
U.S. House,,Dylan Conley,D,Warwick 3519,125,41
U.S. House,,Dylan Conley,D,Warwick 3520,97,43
U.S. House,,Dylan Conley,D,Warwick 3521,60,24
U.S. House,,Dylan Conley,D,Warwick 3522,62,26
U.S. House,,Dylan Conley,D,Warwick 3523,145,70
U.S. House,,Dylan Conley,D,Warwick 3524,62,25
U.S. House,,Dylan Conley,D,Warwick 3525,89,46
U.S. House,,Dylan Conley,D,Warwick 3526,24,14
U.S. House,,Dylan Conley,D,Warwick 3527,82,39
U.S. House,,Dylan Conley,D,Warwick 3528,50,21
U.S. House,,Dylan Conley,D,Warwick 3529,85,32
U.S. House,,Dylan Conley,D,Warwick 3530,123,41
U.S. House,,Dylan Conley,D,Warwick 3531,146,58
U.S. House,,Dylan Conley,D,Warwick 3532,36,15
U.S. House,,Dylan Conley,D,Warwick 3533,57,22
U.S. House,,Dylan Conley,D,Warwick Limited,0,0
U.S. House,,Dylan Conley,D,Westerly 3601,18,5
U.S. House,,Dylan Conley,D,Westerly 3602,35,20
U.S. House,,Dylan Conley,D,Westerly 3603,42,27
U.S. House,,Dylan Conley,D,Westerly 3604,38,26
U.S. House,,Dylan Conley,D,Westerly 3605,37,22
U.S. House,,Dylan Conley,D,Westerly 3606,46,21
U.S. House,,Dylan Conley,D,Westerly 3607,37,16
U.S. House,,Dylan Conley,D,Westerly Limited,0,0
U.S. House,,Dylan Conley,D,West Greenwich 3701,16,2
U.S. House,,Dylan Conley,D,West Greenwich 3702,15,4
U.S. House,,Dylan Conley,D,West Greenwich 3703,11,6
U.S. House,,Dylan Conley,D,West Greenwich 3704,23,16
U.S. House,,Dylan Conley,D,West Greenwich Limited,0,0
U.S. House,,Dylan Conley,D,West Warwick 3801,68,25
U.S. House,,Dylan Conley,D,West Warwick 3802,29,12
U.S. House,,Dylan Conley,D,West Warwick 3803,24,8
U.S. House,,Dylan Conley,D,West Warwick 3804,138,50
U.S. House,,Dylan Conley,D,West Warwick 3805,35,13
U.S. House,,Dylan Conley,D,West Warwick 3806,30,11
U.S. House,,Dylan Conley,D,West Warwick 3807,100,34
U.S. House,,Dylan Conley,D,West Warwick 3808,98,23
U.S. House,,Dylan Conley,D,West Warwick 3809,77,38
U.S. House,,Dylan Conley,D,West Warwick 3810,54,4
U.S. House,,Dylan Conley,D,West Warwick Limited,0,0
U.S. House,,Dylan Conley,D,Federal Precinct #2,25,23
U.S. House,,Dylan Conley,D,Federal Precinct #2S,5,5
State Senate,,Maryellen Goodwin*,D,Providence 2801,44,11
State Senate,,Maryellen Goodwin*,D,Providence 2811,537,178
State Senate,,Maryellen Goodwin*,D,Providence 2819,281,122
State Senate,,Maryellen Goodwin*,D,Providence 2835,54,42
State Senate,,Maryellen Goodwin*,D,Providence 2837,112,37
State Senate,,Maryellen Goodwin*,D,Providence 2841,43,12
State Senate,,Maryellen Goodwin*,D,Providence 2842,29,7
State Senate,,Maryellen Goodwin*,D,Providence 2853,392,164
State Senate,,Maryellen Goodwin*,D,Providence 2859,109,20
State Senate,,Evan A. Lemoine,D,Providence 2801,4,0
State Senate,,Evan A. Lemoine,D,Providence 2811,121,21
State Senate,,Evan A. Lemoine,D,Providence 2819,44,14
State Senate,,Evan A. Lemoine,D,Providence 2835,16,12
State Senate,,Evan A. Lemoine,D,Providence 2837,58,33
State Senate,,Evan A. Lemoine,D,Providence 2841,21,6
State Senate,,Evan A. Lemoine,D,Providence 2842,9,3
State Senate,,Evan A. Lemoine,D,Providence 2853,108,44
State Senate,,Evan A. Lemoine,D,Providence 2859,38,17
State Senate,,Ana B. Quezada*,D,Providence 2822,39,13
State Senate,,Ana B. Quezada*,D,Providence 2826,563,220
State Senate,,Ana B. Quezada*,D,Providence 2864,55,17
State Senate,,Ana B. Quezada*,D,Providence 2871,125,24
State Senate,,Dominick J. Ruggerio*,D,North Providence 2401,110,23
State Senate,,Dominick J. Ruggerio*,D,North Providence 2403,343,135
State Senate,,Dominick J. Ruggerio*,D,North Providence 2405,106,39
State Senate,,Dominick J. Ruggerio*,D,North Providence 2410,207,86
State Senate,,Dominick J. Ruggerio*,D,North Providence 2412,698,234
State Senate,,Dominick J. Ruggerio*,D,North Providence 2414,86,21
State Senate,,Dominick J. Ruggerio*,D,Providence 2820,124,50
State Senate,,Dominick J. Ruggerio*,D,Providence 2844,127,29
State Senate,,Dominick J. Ruggerio*,D,Providence 2846,173,55
State Senate,,"Leonardo A. Cioe, Jr.",D,North Providence 2401,173,51
State Senate,,"Leonardo A. Cioe, Jr.",D,North Providence 2403,164,63
State Senate,,"Leonardo A. Cioe, Jr.",D,North Providence 2405,110,50
State Senate,,"Leonardo A. Cioe, Jr.",D,North Providence 2410,90,31
State Senate,,"Leonardo A. Cioe, Jr.",D,North Providence 2412,362,115
State Senate,,"Leonardo A. Cioe, Jr.",D,North Providence 2414,67,23
State Senate,,"Leonardo A. Cioe, Jr.",D,Providence 2820,150,38
State Senate,,"Leonardo A. Cioe, Jr.",D,Providence 2844,236,84
State Senate,,"Leonardo A. Cioe, Jr.",D,Providence 2846,281,75
State Senate,,Jo-Ann Ryan,D,Providence 2838,45,13
State Senate,,Jo-Ann Ryan,D,Providence 2847,42,4
State Senate,,Jo-Ann Ryan,D,Providence 2854,380,94
State Senate,,Jo-Ann Ryan,D,Providence 2863,264,126
State Senate,,Jo-Ann Ryan,D,Providence 2867,81,18
State Senate,,Samuel W. Bell,D,Providence 2838,49,18
State Senate,,Samuel W. Bell,D,Providence 2847,51,5
State Senate,,Samuel W. Bell,D,Providence 2854,877,275
State Senate,,Samuel W. Bell,D,Providence 2863,812,318
State Senate,,Samuel W. Bell,D,Providence 2867,350,160
State Senate,,Harold M. Metts*,D,Providence 2807,0,0
State Senate,,Harold M. Metts*,D,Providence 2810,6,2
State Senate,,Harold M. Metts*,D,Providence 2818,164,44
State Senate,,Harold M. Metts*,D,Providence 2830,130,37
State Senate,,Harold M. Metts*,D,Providence 2831,495,217
State Senate,,Harold M. Metts*,D,Providence 2836,0,0
State Senate,,Harold M. Metts*,D,Providence 2839,109,24
State Senate,,Harold M. Metts*,D,Providence 2868,107,31
State Senate,,Tiara T. Mack,D,Providence 2807,0,0
State Senate,,Tiara T. Mack,D,Providence 2810,27,18
State Senate,,Tiara T. Mack,D,Providence 2818,561,220
State Senate,,Tiara T. Mack,D,Providence 2830,214,80
State Senate,,Tiara T. Mack,D,Providence 2831,449,191
State Senate,,Tiara T. Mack,D,Providence 2836,3,2
State Senate,,Tiara T. Mack,D,Providence 2839,129,37
State Senate,,Tiara T. Mack,D,Providence 2868,123,30
State Senate,,Frank A. Ciccone*,D,Providence 2850,281,88
State Senate,,Frank A. Ciccone*,D,Providence 2869,91,18
State Senate,,Frank A. Ciccone*,D,Providence 2875,551,291
State Senate,,Frank A. Ciccone*,D,Providence 2877,50,12
State Senate,,Sandra C. Cano*,D,Pawtucket 2612,171,70
State Senate,,Sandra C. Cano*,D,Pawtucket 2613,216,112
State Senate,,Sandra C. Cano*,D,Pawtucket 2614,179,72
State Senate,,Sandra C. Cano*,D,Pawtucket 2615,105,38
State Senate,,Sandra C. Cano*,D,Pawtucket 2618,468,215
State Senate,,Sandra C. Cano*,D,Pawtucket 2619,237,91
State Senate,,Sandra C. Cano*,D,Pawtucket 2620,414,188
State Senate,,Sandra C. Cano*,D,Pawtucket 2621,115,42
State Senate,,Sandra C. Cano*,D,Pawtucket 2624,132,58
State Senate,,Sandra C. Cano*,D,Pawtucket 2625,75,26
State Senate,,Geoffrey E. Rousselle*,D,West Warwick 3801,92,45
State Senate,,Geoffrey E. Rousselle*,D,West Warwick 3802,60,27
State Senate,,Geoffrey E. Rousselle*,D,West Warwick 3803,44,18
State Senate,,Geoffrey E. Rousselle*,D,West Warwick 3804,223,101
State Senate,,Geoffrey E. Rousselle*,D,West Warwick 3805,54,26
State Senate,,Geoffrey E. Rousselle*,D,West Warwick 3807,210,114
State Senate,,Geoffrey E. Rousselle*,D,West Warwick 3808,150,76
State Senate,,Geoffrey E. Rousselle*,D,West Warwick 3809,151,99
State Senate,,Geoffrey E. Rousselle*,D,West Warwick 3810,82,44
State Senate,,John P. Burke,D,West Warwick 3801,128,57
State Senate,,John P. Burke,D,West Warwick 3802,50,21
State Senate,,John P. Burke,D,West Warwick 3803,41,11
State Senate,,John P. Burke,D,West Warwick 3804,222,109
State Senate,,John P. Burke,D,West Warwick 3805,66,26
State Senate,,John P. Burke,D,West Warwick 3807,146,64
State Senate,,John P. Burke,D,West Warwick 3808,203,68
State Senate,,John P. Burke,D,West Warwick 3809,147,74
State Senate,,John P. Burke,D,West Warwick 3810,103,31
State Senate,,"Walter S. Felag, Jr.*",D,Bristol 0201,94,51
State Senate,,"Walter S. Felag, Jr.*",D,Bristol 0205,146,48
State Senate,,"Walter S. Felag, Jr.*",D,Bristol 0206,154,55
State Senate,,James Arthur Seveney*,D,Bristol 0202,108,54
State Senate,,James Arthur Seveney*,D,Bristol 0207,165,102
State Senate,,James Arthur Seveney*,D,Bristol 0208,131,78
State Senate,,James Arthur Seveney*,D,Portsmouth 2704,455,259
State Senate,,James Arthur Seveney*,D,Portsmouth 2708,845,518
State Senate,,Louis P. DiPalma*,D,Little Compton 1801,454,199
State Senate,,Louis P. DiPalma*,D,Middletown 1902,471,247
State Senate,,Louis P. DiPalma*,D,Middletown 1904,512,335
State Senate,,Louis P. DiPalma*,D,Tiverton 3306,365,188
State Senate,,Dawn M. Euer*,D,Jamestown 1501,1112,734
State Senate,,Valarie J. Lawson*,D,East Providence 1003,79,28
State Senate,,Valarie J. Lawson*,D,East Providence 1009,591,294
State Senate,,Valarie J. Lawson*,D,East Providence 1010,341,184
State Senate,,Herbert P. Weiss*,D,North Providence 2415,31,11
State Senate,,Herbert P. Weiss*,D,Pawtucket 2601,13,4
State Senate,,Herbert P. Weiss*,D,Pawtucket 2602,39,13
State Senate,,Herbert P. Weiss*,D,Pawtucket 2603,100,48
State Senate,,Herbert P. Weiss*,D,Pawtucket 2604,46,19
State Senate,,Herbert P. Weiss*,D,Pawtucket 2607,169,81
State Senate,,Herbert P. Weiss*,D,Pawtucket 2608,87,42
State Senate,,Herbert P. Weiss*,D,Pawtucket 2609,17,10
State Senate,,Herbert P. Weiss*,D,Pawtucket 2626,11,1
State Senate,,Herbert P. Weiss*,D,Pawtucket 2627,94,41
